time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1973-10-16T09:50:43.580Z,28.358,82.994,20,5.33,mw,,,,,iscgem,iscgem755527,2022-04-27T18:38:53.823Z,"52 km E of Besisahar, Nepal",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1974-03-24T14:16:02.180Z,27.78,86.079,15.5,5.4,mw,,,,,iscgem,iscgem750821,2022-04-27T18:27:36.955Z,"29 km SSE of Kod?ri??, Nepal",earthquake,,3.6,0.2,,reviewed,iscgem,iscgem
1974-03-24T16:17:39.220Z,27.645,85.992,16.8,5.25,mw,,,,,iscgem,iscgem750826,2022-04-27T18:27:38.063Z,"41 km S of Kod?ri??, Nepal",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1974-09-27T05:26:38.000Z,28.676,85.486,35,5.76,mw,,,,,iscgem,iscgem737989,2022-04-27T18:09:09.263Z,"83 km NNW of Kod?ri??, Nepal",earthquake,,4.7,0.37,,reviewed,iscgem,iscgem
1974-12-23T09:45:40.400Z,29.344,81.394,15,5.5,mw,,,,,iscgem,iscgem734628,2022-04-27T17:59:29.563Z,"47 km ENE of Dipayal, Nepal",earthquake,,10.2,0.2,,reviewed,iscgem,iscgem
1975-01-31T12:38:51.720Z,28.11,84.732,15,5.31,mw,,,,,iscgem,iscgem733787,2022-04-27T15:45:28.484Z,"55 km NNE of Bharatpur, Nepal",earthquake,,25,0.29,,reviewed,iscgem,iscgem
1975-04-24T01:35:51.650Z,27.46,87.019,15,5.28,mw,,,,,iscgem,iscgem730558,2022-04-27T17:48:21.765Z,"16 km WNW of Bhojpur, Nepal",earthquake,,5.1,0.25,,reviewed,iscgem,iscgem
1975-06-24T15:38:26.900Z,27.672,87.492,15,5.19,mw,,,,,iscgem,iscgem728162,2022-04-27T17:43:38.604Z,"13 km NE of Kh??db?ri??, Nepal",earthquake,,6.9,0.2,,reviewed,iscgem,iscgem
1975-09-06T04:44:35.050Z,29.195,81.895,14.3,5.33,mw,,,,,iscgem,iscgem723671,2022-04-27T17:32:01.270Z,"2 km WNW of Jumla, Nepal",earthquake,,3.8,0.28,,reviewed,iscgem,iscgem
1975-11-21T13:49:29.820Z,26.925,86.514,15,5.19,mw,,,,,iscgem,iscgem722040,2022-04-27T17:28:26.571Z,"22 km N of Lah?n, Nepal",earthquake,,6.9,0.24,,reviewed,iscgem,iscgem
1976-05-10T18:43:53.180Z,29.315,81.487,15,5.43,mw,,,,,iscgem,iscgem713852,2022-04-27T17:06:34.701Z,"50 km E of Dipayal, Nepal",earthquake,,3.6,0.2,,reviewed,iscgem,iscgem
1976-09-29T02:51:24.170Z,29.445,81.538,15,5.23,mw,,,,,iscgem,iscgem709247,2022-04-27T16:54:28.904Z,"56 km SSE of Burang, China",earthquake,,10.2,0.2,,reviewed,iscgem,iscgem
1977-11-04T23:54:46.580Z,29.51,81.227,15,5.22,mw,,,,,iscgem,iscgem689929,2022-04-27T16:03:57.845Z,"49 km NE of Dipayal, Nepal",earthquake,,13.2,0.21,,reviewed,iscgem,iscgem
1978-02-10T17:29:51.070Z,28.088,84.655,12.2,5.49,mw,,,,,iscgem,iscgem686310,2022-04-27T15:55:23.902Z,"48 km NNE of Bharatpur, Nepal",earthquake,,25,0.39,,reviewed,iscgem,iscgem
1978-10-04T13:53:51.580Z,27.823,85.971,14.2,5.4,mw,,,,,iscgem,iscgem674876,2022-04-27T15:23:40.554Z,"14 km S of Kod?ri??, Nepal",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1979-05-20T22:59:13.110Z,29.951,80.376,15,5.76,mw,,,,,iscgem,iscgem665385,2022-04-27T15:06:13.296Z,western Xizang-India border region,earthquake,,3.6,0.1,,reviewed,iscgem,iscgem
1979-06-19T16:29:12.920Z,26.681,87.508,19.7,5,mw,,,,,iscgem,iscgem663769,2022-04-27T15:02:45.785Z,"23 km ESE of Dhar?n, Nepal",earthquake,,4.5,0.1,,reviewed,iscgem,iscgem
1980-06-22T14:38:51.900Z,30.085,81.711,10,5.09,mw,,,,,iscgem,iscgem644075,2022-04-28T01:35:24.914Z,"61 km ESE of Burang, China",earthquake,,3.9,0.1,,reviewed,iscgem,iscgem
1980-07-29T12:23:10.280Z,29.299,81.222,10,5.51,mw,,,,,iscgem,iscgem642635,2022-04-28T01:33:36.523Z,"31 km ENE of Dipayal, Nepal",earthquake,,3.8,0.1,,reviewed,iscgem,iscgem
1980-07-29T14:58:42.220Z,29.58,81.042,15,6.55,mw,,,,,iscgem,iscgem642643,2022-04-28T01:33:37.900Z,"40 km NNE of Dipayal, Nepal",earthquake,,3.6,0.1,,reviewed,iscgem,iscgem
1980-07-30T01:00:42.050Z,29.653,80.794,15,5.2,mw,,,,,iscgem,iscgem642675,2022-04-28T01:33:42.038Z,"31 km SE of D?rchul?, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1980-10-10T14:02:26.520Z,29.301,81.147,15,5.22,mw,,,,,iscgem,iscgem636862,2022-04-27T23:02:57.277Z,"27 km ESE of Dipayal, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1980-11-18T13:46:21.350Z,29.563,85.259,15,5.23,mw,,,,,iscgem,iscgem635695,2022-04-28T01:20:39.983Z,"26 km N of Saga, China",earthquake,,25,0.2,,reviewed,iscgem,iscgem
1981-03-06T05:58:48.630Z,29.859,80.679,15,5.31,mw,,,,,iscgem,iscgem629397,2022-04-28T01:08:21.118Z,"10 km ESE of D?rchul?, Nepal",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1981-05-15T17:22:42.700Z,29.443,81.933,15,5.38,mw,,,,,iscgem,iscgem626688,2022-04-28T01:05:01.150Z,"34 km NW of Jumla, Nepal",earthquake,,12,0.36,,reviewed,iscgem,iscgem
1981-09-10T03:47:07.480Z,29.46,81.113,15,5.15,mw,,,,,iscgem,iscgem611232,2022-04-28T00:53:43.281Z,"18 km ENE of Dipayal, Nepal",earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1982-12-21T12:08:46.840Z,29.353,81.492,15,5.17,mw,,,,,iscgem,iscgem587190,2022-04-28T00:18:51.166Z,"43 km E of Dipayal, Nepal",earthquake,,10.2,0.2,,reviewed,iscgem,iscgem
1984-02-19T15:46:27.400Z,29.867,80.577,22.1,5.3,mw,,,,,iscgem,iscgem559470,2022-04-27T23:35:55.651Z,"3 km NE of Dh?rchula, India",earthquake,,4.5,0.23,,reviewed,iscgem,iscgem
1984-05-18T04:28:56.610Z,29.481,81.852,17.9,5.66,mw,,,,,iscgem,iscgem553302,2022-04-27T23:24:11.620Z,"45 km NW of Jumla, Nepal",earthquake,,3.8,0.36,,reviewed,iscgem,iscgem
